ID,NeedDamage,RewardItemID,RewardItemCount
20101,2090,4001,1
20102,2610,4001,1
20103,3260,4001,1
20104,4070,4001,1
20105,5090,4001,1
20106,6350,4001,1
20107,7940,4001,1
20108,9910,4001,1
20109,12380,4001,1
20110,15470,4001,1
20111,19840,4001,1
20112,25440,4001,1
20113,32630,4001,1
20114,41840,4001,1
20115,53650,4001,1
20116,68800,4001,1
20117,88230,4001,1
20118,113150,4001,1
20119,145090,4001,1
20120,186060,4001,1
20121,296400,4002,1
20122,472180,4002,1
20123,752190,4002,1
20124,1198250,4002,1
20125,1908830,4002,1
20126,3040790,4002,1
20127,4844030,4002,1
20128,7716630,4002,1
20129,12292720,4002,1
20130,19582520,4002,1
20131,31266410,4003,1
20132,49921490,4003,1
20133,79707100,4003,1
20134,127264260,4003,1
20135,203196350,4003,1
20136,324433260,4003,1
20137,518006040,4003,1
20138,827073840,4003,1
20139,1320546630,4003,1
20140,2108449470,4003,1
20141,2499341310,4004,1
20142,2962701780,4004,1
20143,3511966050,4004,1
20144,4163060080,4004,1
20145,4934862420,4004,1
20146,5849751530,4004,1
20147,6934254710,4004,1
20148,8219817220,4004,1
20149,9743714060,4004,1
20150,11550130770,4004,1
