ID,NameStringID,DetailStringID,RewardItemID,RewardItemCountID,QuestType,QuestNumber,SpriteID,,ID
101,1,51,0,0,1,1,1000,,칼럼값들을 보유한 ID QusetType에 따라 100단위로 구분
102,2,52,0,0,1,2,1000,,"100-QusetType 1, 200-QusetType 2 …"
103,3,53,0,0,1,3,1000,,
104,4,54,0,0,1,4,1000,,NameStringID (Int)
105,5,55,0,0,1,5,1000,,해당 튜토리얼 제목에 사용될 String 값
106,6,56,1011,1,1,6,1000,,
201,7,57,0,0,2,1,1000,,RewardItemID (Int)
202,8,58,0,0,2,2,1000,,ItemTable참조 지급할 ItemID값 
203,9,59,0,0,2,3,1000,,
204,10,60,0,0,2,4,1000,,RewardItemCountID (Int)
205,11,61,0,0,2,5,1000,,Item 지급 개수 설정값
206,12,62,1021,2,2,6,1000,,
301,13,63,0,0,3,1,1000,,QuestType (Int)
302,14,64,0,0,3,2,1000,,1 : 첫  게임 입장
303,15,65,0,0,3,3,1000,,2 : 가챠UI 버튼 첫 활성화
304,16,66,0,0,3,4,1000,,3 : 병사탭 버튼 첫 활성화
305,17,67,0,0,3,5,1000,,4 : 스킬탭 버튼 첫 활성화
306,18,68,0,0,3,6,1000,,5 : 던전탭 버튼 첫 활성화
307,19,69,1031,3,3,7,1000,,6 : 상점탭 버튼 첫 활성화
401,20,70,0,0,4,1,1000,,7 : 채굴탭 버튼 첫 활성화
402,21,71,0,0,4,2,1000,,8 : 채굴소 버튼 첫 활성화
403,22,72,0,0,4,3,1000,,
404,23,73,0,0,4,4,1000,,QuestNumber (Int)
405,24,74,0,0,4,5,1000,,QusetType 별 퀘스트 순서
406,25,75,0,0,4,6,1000,,
407,26,76,1011,1,4,7,1000,,PrefabID (Int)
501,27,77,0,0,5,1,1000,,AddressTable참조 AddressID 값
502,28,78,0,0,5,2,1000,,
503,29,79,0,0,5,3,1000,,
504,30,80,0,0,5,4,1000,,
505,31,81,0,0,5,5,1000,,
506,32,82,5001,1,5,6,1000,,
601,33,83,0,0,6,1,1000,,
602,34,84,0,0,6,2,1000,,
603,35,85,0,0,6,3,1000,,
604,36,86,0,0,6,4,1000,,
605,37,87,0,0,6,5,1000,,
606,38,88,1011,1,6,6,1000,,
701,39,89,0,0,7,1,1000,,
702,40,90,0,0,7,2,1000,,
703,41,91,0,0,7,3,1000,,
704,42,92,0,0,7,4,1000,,
705,43,93,0,0,7,5,1000,,
706,44,94,1011,1,7,6,1000,,
801,45,95,0,0,8,1,1000,,
802,46,96,0,0,8,2,1000,,
803,47,97,0,0,8,3,1000,,
804,48,98,0,0,8,4,1000,,
805,49,99,0,0,8,5,1000,,
806,50,100,5001,1,8,6,1000,,
